population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,2,DALYs (Disability-Adjusted Life Years),156,United Arab Emirates,2,Female,22,All ages,605,Polycystic ovarian syndrome,2,Percent,1990,0.0009063611027539547,0.0018584142485758887,0.0003978118986478377
1,All Population,2,DALYs (Disability-Adjusted Life Years),156,United Arab Emirates,2,Female,22,All ages,605,Polycystic ovarian syndrome,3,Rate,1990,19.057779020350097,40.22021945295211,8.228493142732342
1,All Population,2,DALYs (Disability-Adjusted Life Years),151,Qatar,2,Female,22,All ages,605,Polycystic ovarian syndrome,1,Number,1991,36.69343333219929,80.06535511031856,15.768724329634244
1,All Population,2,DALYs (Disability-Adjusted Life Years),151,Qatar,2,Female,22,All ages,605,Polycystic ovarian syndrome,2,Percent,1991,0.0011074945841291538,0.0022239638848089854,0.0004997292238059001
1,All Population,2,DALYs (Disability-Adjusted Life Years),151,Qatar,2,Female,22,All ages,605,Polycystic ovarian syndrome,3,Rate,1991,23.750087217093693,51.822873856532446,10.206419626655151
1,All Population,2,DALYs (Disability-Adjusted Life Years),145,Kuwait,2,Female,22,All ages,605,Polycystic ovarian syndrome,1,Number,1991,180.59295160561925,396.89346091469247,78.65239443529975
1,All Population,2,DALYs (Disability-Adjusted Life Years),145,Kuwait,2,Female,22,All ages,605,Polycystic ovarian syndrome,2,Percent,1991,0.001141280420909514,0.0023755177756611097,0.0005220936249727756
1,All Population,2,DALYs (Disability-Adjusted Life Years),145,Kuwait,2,Female,22,All ages,605,Polycystic ovarian syndrome,3,Rate,1991,25.23098756699906,55.4507464922027,10.988676847396983
1,All Population,2,DALYs (Disability-Adjusted Life Years),146,Lebanon,2,Female,22,All ages,605,Polycystic ovarian syndrome,1,Number,1990,279.35785916565777,583.719792966641,123.54108433888965
1,All Population,2,DALYs (Disability-Adjusted Life Years),146,Lebanon,2,Female,22,All ages,605,Polycystic ovarian syndrome,2,Percent,1990,0.0005644904473091117,0.0010832681264420553,0.0002573590294380148
1,All Population,2,DALYs (Disability-Adjusted Life Years),146,Lebanon,2,Female,22,All ages,605,Polycystic ovarian syndrome,3,Rate,1990,17.553831705934815,36.67882850964788,7.762872359240078
1,All Population,2,DALYs (Disability-Adjusted Life Years),142,Iran (Islamic Republic of),2,Female,22,All ages,605,Polycystic ovarian syndrome,1,Number,1991,4430.273402926058,9555.640376621152,1970.1941401707368
1,All Population,2,DALYs (Disability-Adjusted Life Years),142,Iran (Islamic Republic of),2,Female,22,All ages,605,Polycystic ovarian syndrome,2,Percent,1991,0.0004363177762771621,0.0008917203208236338,0.00019298521562096218
1,All Population,2,DALYs (Disability-Adjusted Life Years),142,Iran (Islamic Republic of),2,Female,22,All ages,605,Polycystic ovarian syndrome,3,Rate,1991,15.374198444260534,33.16055196844792,6.837084967419497
1,All Population,2,DALYs (Disability-Adjusted Life Years),156,United Arab Emirates,2,Female,22,All ages,605,Polycystic ovarian syndrome,1,Number,1991,136.73014218414835,293.13558403248567,59.19416417520862
1,All Population,2,DALYs (Disability-Adjusted Life Years),156,United Arab Emirates,2,Female,22,All ages,605,Polycystic ovarian syndrome,2,Percent,1991,0.0009702109695623951,0.0020053157878305934,0.00042326465632142594
1,All Population,2,DALYs (Disability-Adjusted Life Years),156,United Arab Emirates,2,Female,22,All ages,605,Polycystic ovarian syndrome,3,Rate,1991,19.616509058599945,42.05580969722634,8.492515543466267
1,All Population,2,DALYs (Disability-Adjusted Life Years),147,Libya,2,Female,22,All ages,605,Polycystic ovarian syndrome,1,Number,1990,370.00363923899175,800.5006852556812,161.73687011816003
1,All Population,2,DALYs (Disability-Adjusted Life Years),147,Libya,2,Female,22,All ages,605,Polycystic ovarian syndrome,2,Percent,1990,0.0005953428365173127,0.0012056378154582524,0.00026576003214299685
1,All Population,2,DALYs (Disability-Adjusted Life Years),147,Libya,2,Female,22,All ages,605,Polycystic ovarian syndrome,3,Rate,1990,18.320777518543572,39.63689381049066,8.008421809241831
1,All Population,2,DALYs (Disability-Adjusted Life Years),157,Yemen,2,Female,22,All ages,605,Polycystic ovarian syndrome,1,Number,1990,569.3440069221292,1246.1205578663912,250.51678346661896
1,All Population,2,DALYs (Disability-Adjusted Life Years),157,Yemen,2,Female,22,All ages,605,Polycystic ovarian syndrome,2,Percent,1990,0.00011278879925265217,0.00024033697835947092,5.015587143487191e-05
1,All Population,2,DALYs (Disability-Adjusted Life Years),157,Yemen,2,Female,22,All ages,605,Polycystic ovarian syndrome,3,Rate,1990,8.49981094945605,18.603496363041046,3.7399977399311006
1,All Population,2,DALYs (Disability-Adjusted Life Years),140,Bahrain,2,Female,22,All ages,605,Polycystic ovarian syndrome,1,Number,1990,48.581444869599096,105.65438441015212,21.026776297463247
1,All Population,2,DALYs (Disability-Adjusted Life Years),140,Bahrain,2,Female,22,All ages,605,Polycystic ovarian syndrome,2,Percent,1990,0.0008808922802515697,0.0017663721760264705,0.0003852050049872558
1,All Population,2,DALYs (Disability-Adjusted Life Years),140,Bahrain,2,Female,22,All ages,605,Polycystic ovarian syndrome,3,Rate,1990,22.662403351839064,49.28594202622129,9.808627283956985
1,All Population,2,DALYs (Disability-Adjusted Life Years),522,Sudan,2,Female,22,All ages,605,Polycystic ovarian syndrome,1,Number,1991,994.1995759635488,2190.202720793522,426.66622071823645
1,All Population,2,DALYs (Disability-Adjusted Life Years),522,Sudan,2,Female,22,All ages,605,Polycystic ovarian syndrome,2,Percent,1991,0.0001206211915830225,0.00026329281509882273,5.1865276332047785e-05
1,All Population,2,DALYs (Disability-Adjusted Life Years),522,Sudan,2,Female,22,All ages,605,Polycystic ovarian syndrome,3,Rate,1991,9.677522103461012,21.319396783082972,4.153161881807414
1,All Population,2,DALYs (Disability-Adjusted Life Years),151,Qatar,2,Female,22,All ages,605,Polycystic ovarian syndrome,1,Number,1992,38.41355063876735,84.78558462326197,17.15602767034262
1,All Population,2,DALYs (Disability-Adjusted Life Years),151,Qatar,2,Female,22,All ages,605,Polycystic ovarian syndrome,2,Percent,1992,0.0011381492899639554,0.0023182187488664644,0.0005135308694149783
1,All Population,2,DALYs (Disability-Adjusted Life Years),151,Qatar,2,Female,22,All ages,605,Polycystic ovarian syndrome,3,Rate,1992,24.06515854486912,53.11611403656719,10.747835569000783
1,All Population,2,DALYs (Disability-Adjusted Life Years),148,Morocco,2,Female,22,All ages,605,Polycystic ovarian syndrome,1,Number,1993,2079.067281302397,4484.207879375441,913.0261912497865
1,All Population,2,DALYs (Disability-Adjusted Life Years),148,Morocco,2,Female,22,All ages,605,Polycystic ovarian syndrome,2,Percent,1993,0.00034511518850617693,0.0007070836239411162,0.00015382475412484688
1,All Population,2,DALYs (Disability-Adjusted Life Years),148,Morocco,2,Female,22,All ages,605,Polycystic ovarian syndrome,3,Rate,1993,15.440493420282,33.30261741856667,6.780720867150718
1,All Population,2,DALYs (Disability-Adjusted Life Years),147,Libya,2,Female,22,All ages,605,Polycystic ovarian syndrome,1,Number,1991,386.27117139271326,841.2614411104696,172.24160411043638
1,All Population,2,DALYs (Disability-Adjusted Life Years),147,Libya,2,Female,22,All ages,605,Polycystic ovarian syndrome,2,Percent,1991,0.0006306431260742616,0.0013133002695324217,0.0002824355669831522
1,All Population,2,DALYs (Disability-Adjusted Life Years),147,Libya,2,Female,22,All ages,605,Polycystic ovarian syndrome,3,Rate,1991,18.73971837777163,40.81330333725727,8.3561999781848
1,All Population,2,DALYs (Disability-Adjusted Life Years),152,Saudi Arabia,2,Female,22,All ages,605,Polycystic ovarian syndrome,1,Number,1991,1259.2817557273722,2690.1565253746207,547.5818195107543
1,All Population,2,DALYs (Disability-Adjusted Life Years),152,Saudi Arabia,2,Female,22,All ages,605,Polycystic ovarian syndrome,2,Percent,1991,0.0005448907763627169,0.001132572753626489,0.00023602340054643987
1,All Population,2,DALYs (Disability-Adjusted Life Years),152,Saudi Arabia,2,Female,22,All ages,605,Polycystic ovarian syndrome,3,Rate,1991,16.913219659469554,36.13107870822413,7.354487232738435
1,All Population,2,DALYs (Disability-Adjusted Life Years),149,Palestine,2,Female,22,All ages,605,Polycystic ovarian syndrome,1,Number,1990,134.67893477190594,291.41454798195656,57.88710368987243
1,All Population,2,DALYs (Disability-Adjusted Life Years),149,Palestine,2,Female,22,All ages,605,Polycystic ovarian syndrome,2,Percent,1990,0.00041807195955657813,0.0008402005413434402,0.00018279649627271364
1,All Population,2,DALYs (Disability-Adjusted Life Years),149,Palestine,2,Female,22,All ages,605,Polycystic ovarian syndrome,3,Rate,1990,13.16809137186285,28.492751308254253,5.659850754921082
1,All Population,2,DALYs (Disability-Adjusted Life Years),154,Tunisia,2,Female,22,All ages,605,Polycystic ovarian syndrome,1,Number,1992,660.5698567232132,1463.84966203044,275.3443119830116
1,All Population,2,DALYs (Disability-Adjusted Life Years),154,Tunisia,2,Female,22,All ages,605,Polycystic ovarian syndrome,2,Percent,1992,0.0004721589887528294,0.000999894515684802,0.0002012547865404771
1,All Population,2,DALYs (Disability-Adjusted Life Years),154,Tunisia,2,Female,22,All ages,605,Polycystic ovarian syndrome,3,Rate,1992,15.283595270952452,33.86906856903141,6.370637384791415
1,All Population,2,DALYs (Disability-Adjusted Life Years),149,Palestine,2,Female,22,All ages,605,Polycystic ovarian syndrome,1,Number,1993,154.88074640734231,334.9935381870501,66.41224593895897
1,All Population,2,DALYs (Disability-Adjusted Life Years),149,Palestine,2,Female,22,All ages,605,Polycystic ovarian syndrome,2,Percent,1993,0.0004548313125154092,0.0009325300566217656,0.00019873301283456765
1,All Population,2,DALYs (Disability-Adjusted Life Years),149,Palestine,2,Female,22,All ages,605,Polycystic ovarian syndrome,3,Rate,1993,13.568355035450791,29.34716784453893,5.818056488645341
1,All Population,2,DALYs (Disability-Adjusted Life Years),151,Qatar,2,Female,22,All ages,605,Polycystic ovarian syndrome,1,Number,1990,35.04842511789387,76.92528454099867,15.118543780854687
1,All Population,2,DALYs (Disability-Adjusted Life Years),151,Qatar,2,Female,22,All ages,605,Polycystic ovarian syndrome,2,Percent,1990,0.0010719670847306084,0.0021234787409915067,0.0004751658865255646
1,All Population,2,DALYs (Disability-Adjusted Life Years),151,Qatar,2,Female,22,All ages,605,Polycystic ovarian syndrome,3,Rate,1990,23.487527762598347,51.55109681033952,10.131616915408532
1,All Population,2,DALYs (Disability-Adjusted Life Years),140,Bahrain,2,Female,22,All ages,605,Polycystic ovarian syndrome,1,Number,1992,52.33921113984981,114.60728319283876,22.475914259327407
1,All Population,2,DALYs (Disability-Adjusted Life Years),140,Bahrain,2,Female,22,All ages,605,Polycystic ovarian syndrome,2,Percent,1992,0.0009113654305224581,0.0018191495031687228,0.0003925845072382205
1,All Population,2,DALYs (Disability-Adjusted Life Years),140,Bahrain,2,Female,22,All ages,605,Polycystic ovarian syndrome,3,Rate,1992,22.942708559249883,50.237698272428794,9.85223772434407
1,All Population,2,DALYs (Disability-Adjusted Life Years),140,Bahrain,2,Female,22,All ages,605,Polycystic ovarian syndrome,1,Number,1993,54.04620453127541,117.36943483271564,23.325651810503913
1,All Population,2,DALYs (Disability-Adjusted Life Years),140,Bahrain,2,Female,22,All ages,605,Polycystic ovarian syndrome,2,Percent,1993,0.000930558799607303,0.0019203521094949192,0.00040389041855110085
1,All Population,2,DALYs (Disability-Adjusted Life Years),140,Bahrain,2,Female,22,All ages,605,Polycystic ovarian syndrome,3,Rate,1993,23.0724638210702,50.10531382106995,9.957780794566215
1,All Population,2,DALYs (Disability-Adjusted Life Years),150,Oman,2,Female,22,All ages,605,Polycystic ovarian syndrome,1,Number,1993,116.40358134442586,249.72159910972707,51.341162425974346
1,All Population,2,DALYs (Disability-Adjusted Life Years),150,Oman,2,Female,22,All ages,605,Polycystic ovarian syndrome,2,Percent,1993,0.0004835084941842755,0.0009833712933910055,0.0002179641429044976
1,All Population,2,DALYs (Disability-Adjusted Life Years),150,Oman,2,Female,22,All ages,605,Polycystic ovarian syndrome,3,Rate,1993,12.9964104307082,27.881310505728703,5.7322189847689655
1,All Population,2,DALYs (Disability-Adjusted Life Years),160,Afghanistan,2,Female,22,All ages,605,Polycystic ovarian syndrome,1,Number,1991,378.4827126343694,823.0786556957252,160.98596433440107
1,All Population,2,DALYs (Disability-Adjusted Life Years),160,Afghanistan,2,Female,22,All ages,605,Polycystic ovarian syndrome,2,Percent,1991,8.829009604359228e-05,0.00018413837577811796,3.8959492839471555e-05
1,All Population,2,DALYs (Disability-Adjusted Life Years),160,Afghanistan,2,Female,22,All ages,605,Polycystic ovarian syndrome,3,Rate,1991,7.284457697127949,15.841361966290206,3.098412180738533
1,All Population,2,DALYs (Disability-Adjusted Life Years),139,Algeria,2,Female,22,All ages,605,Polycystic ovarian syndrome,1,Number,1991,1833.9322301596944,3993.0093375400174,777.5963416679436
1,All Population,2,DALYs (Disability-Adjusted Life Years),139,Algeria,2,Female,22,All ages,605,Polycystic ovarian syndrome,2,Percent,1991,0.0003930514741654208,0.0008052658711875953,0.00016738597343318105
1,All Population,2,DALYs (Disability-Adjusted Life Years),139,Algeria,2,Female,22,All ages,605,Polycystic ovarian syndrome,3,Rate,1991,14.251074344036617,31.028776303669662,6.042526050047011
1,All Population,2,DALYs (Disability-Adjusted Life Years),139,Algeria,2,Female,22,All ages,605,Polycystic ovarian syndrome,1,Number,1993,1999.8783392850805,4368.385366528382,859.0502679036523
1,All Population,2,DALYs (Disability-Adjusted Life Years),139,Algeria,2,Female,22,All ages,605,Polycystic ovarian syndrome,2,Percent,1993,0.00043136455518880725,0.0008878755909701138,0.00018247075083092207
1,All Population,2,DALYs (Disability-Adjusted Life Years),139,Algeria,2,Female,22,All ages,605,Polycystic ovarian syndrome,3,Rate,1993,14.783670200543453,32.292348638928786,6.350344216896753
1,All Population,2,DALYs (Disability-Adjusted Life Years),149,Palestine,2,Female,22,All ages,605,Polycystic ovarian syndrome,1,Number,1991,141.09694223052756,305.3097941790587,61.34826523082755
1,All Population,2,DALYs (Disability-Adjusted Life Years),149,Palestine,2,Female,22,All ages,605,Polycystic ovarian syndrome,2,Percent,1991,0.00042946520306005957,0.0008671033860472494,0.00018810050773975618
1,All Population,2,DALYs (Disability-Adjusted Life Years),149,Palestine,2,Female,22,All ages,605,Polycystic ovarian syndrome,3,Rate,1991,13.30493135376739,28.78960939173601,5.784919535926528
1,All Population,2,DALYs (Disability-Adjusted Life Years),141,Egypt,2,Female,22,All ages,605,Polycystic ovarian syndrome,1,Number,1991,4989.121471428067,11109.768089819327,2209.097673977169
1,All Population,2,DALYs (Disability-Adjusted Life Years),141,Egypt,2,Female,22,All ages,605,Polycystic ovarian syndrome,2,Percent,1991,0.0003788147874822492,0.0008017800296068845,0.00016786066592915
